Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,
111,dYdX,DYDX,"$429,118,115 ",$0.56 ,"765,736,793 DYDX *","$8,426,893 ",0.45%,-3.21%,-4.12%,
112,Reserve Rights,RSR,"$424,359,658 ",$0.01 ,"56,411,487,115 RSR *","$28,866,205 ",-0.28%,-5.20%,9.61%,
113,APENFT,NFT,"$421,891,131 ",$0.06 ,"999,990,000,000,000 NFT *","$16,931,248 ",-0.19%,-1.27%,-2.21%,
114,Solayer,LAYER,"$419,406,840 ",$1.99 ,"210,000,000 LAYER *","$222,075,433 ",1.11%,10.64%,26.76%,
115,THORChain,RUNE,"$404,914,198 ",$1.15 ,"351,581,985 RUNE *","$116,455,688 ",0.58%,-0.99%,8.27%,
116,MultiversX,EGLD,"$396,962,398 ",$14.12 ,"28,102,584 EGLD *","$12,608,401 ",0.71%,-3.43%,2.52%,
117,Grass,GRASS,"$395,303,899 ",$1.62 ,"243,905,091 GRASS *","$44,344,692 ",-0.70%,-4.95%,-2.23%,
118,eCash,XEC,"$391,372,816 ",$0.00 ,"19,850,932,797,583 XEC *","$23,507,710 ",0.65%,-1.74%,5.05%,
119,Starknet,STRK,"$378,685,438 ",$0.13 ,"2,905,277,827 STRK *","$18,619,029 ",0.88%,-3.19%,-1.50%,
120,Neo,NEO,"$375,872,159 ",$5.32 ,"70,538,831 NEO *","$53,136,668 ",-0.02%,-4.12%,8.23%,
121,Axie Infinity,AXS,"$371,616,904 ",$2.31 ,"160,403,007 AXS *","$30,507,755 ",0.51%,-2.91%,-12.11%,
122,Chiliz,CHZ,"$368,226,859 ",$0.04 ,"9,527,806,672 CHZ *","$46,138,454 ",-0.18%,-3.87%,-4.70%,
123,Compound,COMP,"$365,741,925 ",$40.90 ,"8,940,348 COMP *","$23,707,146 ",0.86%,-2.22%,-6.08%,
124,Arweave,AR,"$363,538,939 ",$5.53 ,"65,652,466 AR *","$29,455,551 ",0.36%,-1.16%,1.56%,
125,Conflux,CFX,"$361,736,096 ",$0.07 ,"5,119,264,028 CFX","$28,120,207 ",0.80%,-3.96%,-10.88%,
126,Virtuals Protocol,VIRTUAL,"$361,449,706 ",$0.56 ,"651,215,638 VIRTUAL *","$147,484,039 ",-2.86%,-3.22%,8.09%,
127,Aerodrome Finance,AERO,"$355,006,636 ",$0.44 ,"805,570,892 AERO *","$36,343,902 ",-0.12%,-4.80%,24.47%,
128,Wormhole,W,"$336,519,740 ",$0.07 ,"4,534,655,350 W *","$66,981,889 ",-0.18%,-3.17%,-6.59%,
129,Pudgy Penguins,PENGU,"$333,388,196 ",$0.01 ,"62,860,396,090 PENGU *","$97,529,124 ",0.24%,-5.98%,17.97%,
130,SuperVerse,SUPER,"$327,900,281 ",$0.58 ,"569,914,985 SUPER *","$24,448,524 ",-1.13%,1.46%,28.14%,
131,Ronin,RON,"$327,904,865 ",$0.53 ,"619,389,699 RON *","$6,421,739 ",0.22%,-5.07%,-15.32%,
132,AIOZ Network,AIOZ,"$322,906,818 ",$0.28 ,"1,169,324,007 AIOZ *","$62,934,349 ",0.60%,7.67%,28.01%,
133,Terra Classic,LUNC,"$322,192,776 ",$0.00 ,"5,438,215,564,122 LUNC *","$11,372,014 ",0.42%,-1.38%,2.64%,
134,ApeCoin,APE,"$321,672,495 ",$0.43 ,"752,651,515 APE *","$27,052,940 ",0.48%,-2.81%,0.38%,
135,Trust Wallet Token,TWT,"$320,358,611 ",$0.77 ,"416,649,900 TWT *","$9,543,219 ",0.36%,-3.30%,-1.75%,
136,WEMIX,WEMIX,"$316,326,574 ",$0.75 ,"419,635,583 WEMIX *","$8,830,260 ",-0.69%,7.59%,48.46%,
137,USDD,USDD,"$315,535,552 ",$1.00 ,"315,640,809 USDD *","$5,534,740 ",0.03%,0.02%,0.03%,
138,Amp,AMP,"$314,229,655 ",$0.00 ,"84,231,571,707 AMP *","$16,651,573 ",-0.09%,-0.48%,4.77%,
139,Babylon,BABY,"$306,115,228 ",$0.13 ,"2,294,036,491 BABY *","$598,145,179 ",-1.73%,-9.30%,31.03%,
140,JUST,JST,"$304,277,338 ",$0.03 ,"9,900,000,000 JST *","$18,023,926 ",0.41%,0.78%,-3.04%,
141,Axelar,AXL,"$299,438,417 ",$0.32 ,"943,754,347 AXL *","$6,933,417 ",0.61%,-1.90%,-3.54%,
142,FTX Token,FTT,"$298,182,262 ",$0.91 ,"328,895,104 FTT *","$12,116,038 ",-0.02%,-2.84%,-10.17%,
143,Beam,BEAM,"$297,059,271 ",$0.01 ,"49,466,004,168 BEAM *","$22,426,939 ",0.63%,-7.42%,-2.82%,
144,Cheems (cheems.pet),CHEEMS,"$284,398,002 ",$0.05 ,"187,495,034,775,398 CHEEMS *","$7,441,419 ",-0.59%,-3.50%,1.17%,
145,Brett (Based),BRETT,"$283,889,735 ",$0.03 ,"9,910,236,395 BRETT *","$21,925,666 ",-0.35%,-7.01%,2.44%,
146,Gnosis,GNO,"$280,544,963 ",$108.40 ,"2,587,902 GNO *","$6,546,802 ",1.46%,0.03%,-4.49%,
147,Akash Network,AKT,"$276,558,038 ",$1.11 ,"248,285,795 AKT *","$7,352,726 ",-0.91%,-2.64%,6.38%,
148,LayerZero,ZRO,"$271,805,922 ",$2.47 ,"110,000,000 ZRO *","$50,957,852 ",-0.43%,-6.97%,-9.25%,
149,Popcat (SOL),POPCAT,"$270,304,776 ",$0.28 ,"979,973,185 POPCAT *","$175,983,648 ",0.72%,-2.45%,82.95%,
150,Official Melania Meme,MELANIA,"$265,235,995 ",$0.49 ,"541,313,720 MELANIA *","$15,809,275 ",0.52%,-4.34%,-12.40%,
151,Mina,MINA,"$262,976,831 ",$0.21 ,"1,225,822,165 MINA *","$14,299,435 ",0.61%,-3.76%,-3.80%,
152,Creditcoin,CTC,"$260,001,489 ",$0.58 ,"449,416,053 CTC *","$25,391,120 ",1.20%,-3.26%,2.73%,
153,Golem,GLM,"$259,667,917 ",$0.26 ,"1,000,000,000 GLM *","$53,955,923 ",1.50%,0.96%,10.24%,
154,MX Token,MX,"$256,059,907 ",$2.69 ,"94,954,334 MX *","$8,236,341 ",-0.13%,-1.13%,-4.33%,
155,Polyhedra Network,ZKJ,"$255,637,016 ",$2.27 ,"112,502,999 ZKJ *","$6,710,212 ",0.00%,0.67%,-0.13%,
156,Dash,DASH,"$253,345,739 ",$20.73 ,"12,217,948 DASH","$39,091,444 ",0.86%,-2.09%,-2.04%,
157,Safe,SAFE,"$245,949,831 ",$0.43 ,"566,906,176 SAFE *","$19,561,943 ",0.54%,-7.14%,-8.88%,
158,SafePal,SFP,"$244,948,864 ",$0.49 ,"500,000,000 SFP *","$7,742,409 ",0.74%,-1.36%,0.28%,
159,Aethir,ATH,"$241,305,836 ",$0.03 ,"8,479,398,819 ATH *","$26,962,396 ",-0.14%,-3.72%,-3.11%,
160,1inch Network,1INCH,"$238,831,864 ",$0.17 ,"1,385,525,403 1INCH *","$12,088,393 ",0.67%,-3.02%,-4.47%,
161,Morpho,MORPHO,"$237,474,087 ",$1.00 ,"237,881,050 MORPHO *","$10,529,007 ",0.75%,-5.58%,-6.68%,
162,DeepBook Protocol,DEEP,"$232,277,129 ",$0.08 ,"3,058,000,000 DEEP *","$40,257,069 ",-0.10%,12.39%,33.65%,
163,Theta Fuel,TFUEL,"$228,924,729 ",$0.03 ,"6,905,723,053 TFUEL *","$2,991,869 ",0.08%,-2.30%,2.04%,
164,Blur,BLUR,"$225,546,563 ",$0.10 ,"2,288,940,188 BLUR *","$16,036,799 ",-0.35%,-2.39%,2.01%,
165,Kusama,KSM,"$221,956,821 ",$13.56 ,"16,359,889 KSM *","$7,555,442 ",0.52%,-2.33%,-4.49%,
166,Zilliqa,ZIL,"$220,057,472 ",$0.01 ,"19,771,526,208 ZIL","$33,404,204 ",0.65%,-2.14%,2.70%,
167,Synthetix,SNX,"$218,499,248 ",$0.64 ,"339,466,217 SNX *","$14,574,205 ",0.46%,-4.29%,-2.06%,
168,Qtum,QTUM,"$214,369,240 ",$2.02 ,"105,600,844 QTUM *","$62,064,908 ",0.49%,2.30%,8.57%,
169,Nervos Network,CKB,"$213,711,719 ",$0.00 ,"46,308,602,815 CKB","$113,364,196 ",1.78%,6.79%,12.08%,
170,Decred,DCR,"$211,304,142 ",$12.62 ,"16,735,684 DCR","$3,173,576 ",0.37%,-6.22%,6.67%,
171,cat in a dogs world,MEW,"$209,429,238 ",$0.00 ,"88,888,888,888 MEW *","$37,120,802 ",0.05%,-9.08%,-8.17%,
172,Convex Finance,CVX,"$204,236,884 ",$2.11 ,"96,414,179 CVX *","$20,919,511 ",0.49%,-3.57%,15.94%,
173,Gas,GAS,"$204,002,555 ",$3.13 ,"64,992,331 GAS *","$89,705,989 ",-1.10%,-3.22%,52.13%,
174,0x Protocol,ZRX,"$201,759,896 ",$0.24 ,"848,396,563 ZRX *","$40,113,405 ",0.68%,-5.59%,3.55%,
175,Astar,ASTR,"$201,725,418 ",$0.03 ,"7,637,560,342 ASTR *","$10,392,289 ",0.43%,-1.87%,1.82%,
176,Baby Doge Coin,BabyDoge,"$196,016,077 ",$0.08 ,"163,712,258,383,691,170 BabyDoge *","$18,204,589 ",0.20%,-3.18%,6.48%,
177,ZKsync,ZK,"$195,640,657 ",$0.05 ,"3,675,000,000 ZK *","$27,511,838 ",-0.25%,-2.81%,-7.70%,
178,EigenLayer,EIGEN,"$193,061,369 ",$0.82 ,"234,977,761 EIGEN *","$16,721,483 ",0.36%,-5.04%,5.83%,
179,KAITO,KAITO,"$193,057,504 ",$0.80 ,"241,388,889 KAITO *","$61,802,866 ",0.16%,-3.84%,-10.03%,
180,Alchemy Pay,ACH,"$190,027,340 ",$0.02 ,"8,903,055,816 ACH *","$36,187,409 ",0.34%,-5.66%,3.34%,
181,VeThor Token,VTHO,"$189,657,836 ",$0.00 ,"88,345,580,066 VTHO *","$8,078,906 ",0.62%,-1.79%,7.02%,
182,Basic Attention Token,BAT,"$189,467,527 ",$0.13 ,"1,495,668,357 BAT *","$12,843,578 ",0.43%,-4.13%,-2.55%,
183,Mog Coin,MOG,"$189,509,319 ",$0.06 ,"390,567,526,433,217 MOG *","$19,062,936 ",6.12%,-0.30%,51.17%,
184,Notcoin,NOT,"$184,036,664 ",$0.00 ,"102,456,957,534 NOT *","$24,401,513 ",0.58%,-6.39%,-3.48%,
